Ядро,Уровень,Xcmin,Xcmax,Wmin,Wmax,Amin,Amax
<<<<<<< HEAD
11C,0.0,51.33364188107763,51.63364188107763,0.35199999999999393,0.4519999999999939,0.1,10000
11C,2.0,49.40097841221386,49.70097841221386,0.35199999999999393,0.4519999999999939,0.1,10000
11C,4.3188,47.127860252612145,47.42786025261214,0.35199999999999393,0.4519999999999939,0.1,10000
11C,4.8042,46.64723430187814,46.94723430187814,0.35199999999999393,0.4519999999999939,0.1,10000
11C,6.3392,45.11550359479027,45.415503594790266,0.35199999999999393,0.4519999999999939,0.1,10000
11C,6.4782,44.97587417684248,45.27587417684248,0.35199999999999393,0.4519999999999939,0.1,10000
11C,6.9048,44.5463418995945,44.8463418995945,0.35199999999999393,0.4519999999999939,0.1,10000
11C,7.4,44.045803505236194,44.34580350523619,0.35199999999999393,0.4519999999999939,0.1,10000
11C,7.4997,43.944771968266004,44.244771968266,0.35199999999999393,0.4519999999999939,0.1,10000
11C,8.1045,43.33000288960578,43.63000288960578,0.35199999999999393,0.4519999999999939,0.1,10000
11C,8.42,43.00798476088031,43.30798476088031,0.35199999999999393,0.4519999999999939,0.1,10000
13N,0.0,45.497412119340666,45.79741211934066,0.35199999999999393,0.4519999999999939,0.1,10000
13N,2.365,43.14037812019794,43.440378120197934,0.35199999999999393,0.4519999999999939,0.1,10000
13N,3.5,41.99468322921404,42.29468322921404,0.35199999999999393,0.4519999999999939,0.1,10000
13N,3.55,41.943979774349614,42.24397977434961,0.35199999999999393,0.4519999999999939,0.1,10000
13N,6.36,39.06009285243793,39.36009285243793,0.35199999999999393,0.4519999999999939,0.1,10000
13N,6.89,38.507988229734366,38.80798822973436,0.35199999999999393,0.4519999999999939,0.1,10000
13N,7.16,38.2256438082894,38.525643808289395,0.35199999999999393,0.4519999999999939,0.1,10000
13N,7.38,37.995030917930464,38.29503091793046,0.35199999999999393,0.4519999999999939,0.1,10000
13N,7.9,37.44791592367389,37.74791592367389,0.35199999999999393,0.4519999999999939,0.1,10000
13N,8.92,36.36605688646974,36.66605688646974,0.35199999999999393,0.4519999999999939,0.1,10000
13N,9.0,36.28069827963066,36.58069827963066,0.35199999999999393,0.4519999999999939,0.1,10000
13N,9.48,35.76693084839463,36.06693084839463,0.35199999999999393,0.4519999999999939,0.1,10000
17F,0.0,45.18070673625307,45.48070673625307,0.35199999999999393,0.4519999999999939,0.1,10000
17F,0.4953,44.69757125264814,44.997571252648136,0.35199999999999393,0.4519999999999939,0.1,10000
17F,3.104,42.13207987285588,42.43207987285588,0.35199999999999393,0.4519999999999939,0.1,10000
17F,3.857,41.384570055776436,41.68457005577643,0.35199999999999393,0.4519999999999939,0.1,10000
17F,4.64,40.6037006217527,40.9037006217527,0.35199999999999393,0.4519999999999939,0.1,10000
17F,5.0,40.24341057303999,40.543410573039985,0.35199999999999393,0.4519999999999939,0.1,10000
17F,5.22,40.022828972960774,40.32282897296077,0.35199999999999393,0.4519999999999939,0.1,10000
17F,5.49,39.75168878778121,40.05168878778121,0.35199999999999393,0.4519999999999939,0.1,10000
17F,6.04,39.19788167124201,39.497881671242006,0.35199999999999393,0.4519999999999939,0.1,10000
17F,6.56,38.67239956893755,38.97239956893755,0.35199999999999393,0.4519999999999939,0.1,10000
17F,7.03,38.195818617308596,38.49581861730859,0.35199999999999393,0.4519999999999939,0.1,10000
17F,7.48,37.73802576672267,38.03802576672267,0.35199999999999393,0.4519999999999939,0.1,10000
17F,8.08,37.12528817169538,37.42528817169538,0.35199999999999393,0.4519999999999939,0.1,10000
17F,8.38,36.81788272787018,37.117882727870175,0.35199999999999393,0.4519999999999939,0.1,10000
17F,8.75,36.43776968844721,36.73776968844721,0.35199999999999393,0.4519999999999939,0.1,10000
17F,9.17,36.00494520485639,36.30494520485639,0.35199999999999393,0.4519999999999939,0.1,10000
12C,0.0,58.52089378729778,58.82089378729778,0.35199999999999393,0.4519999999999939,0.1,10000
12C,4.4398,54.384729881839185,54.68472988183918,0.35199999999999393,0.4519999999999939,0.1,10000
12C,7.654,51.33473747001892,51.63473747001892,0.35199999999999393,0.4519999999999939,0.1,10000
12C,9.641,49.42241295640154,49.722412956401534,0.35199999999999393,0.4519999999999939,0.1,10000
12C,9.87,49.20058643849224,49.500586438492235,0.35199999999999393,0.4519999999999939,0.1,10000
=======
11C,0.0,51.19398973282066,51.49398973282066,0.35199999999999393,0.4519999999999939,0.1,10000
11C,2.0,49.56003324496195,49.86003324496195,0.35199999999999393,0.4519999999999939,0.1,10000
11C,4.3188,47.23563729610729,47.53563729610729,0.35199999999999393,0.4519999999999939,0.1,10000
11C,4.8042,46.719934785125965,47.01993478512596,0.35199999999999393,0.4519999999999939,0.1,10000
11C,6.3392,45.0870662912399,45.3870662912399,0.35199999999999393,0.4519999999999939,0.1,10000
11C,6.4782,44.941574324263435,45.24157432426343,0.35199999999999393,0.4519999999999939,0.1,10000
11C,6.9048,44.500132746938824,44.80013274693882,0.35199999999999393,0.4519999999999939,0.1,10000
11C,7.4,43.9999094901464,44.2999094901464,0.35199999999999393,0.4519999999999939,0.1,10000
11C,7.4997,43.901112819205004,44.201112819205,0.35199999999999393,0.4519999999999939,0.1,10000
11C,8.1045,43.31838193470791,43.618381934707905,0.35199999999999393,0.4519999999999939,0.1,10000
